location,stockCode,year,stockName
东南亚,002175.SZ,2016,ST东网
泰国,002175.SZ,2016,ST东网
北美,300317.SZ,2016,珈伟新能
欧洲,300317.SZ,2016,珈伟新能
亚非拉,300317.SZ,2016,珈伟新能
,002378.SZ,2016,章源钨业
,600362.SH,2016,江西铜业
,000789.SZ,2016,万年青
越南,600475.SH,2016,华光环能
印尼,600475.SH,2016,华光环能
巴基斯坦,600475.SH,2016,华光环能
东南亚,600475.SH,2016,华光环能
中亚,002323.SZ,2016,*ST雅博
东南亚,002323.SZ,2016,*ST雅博
哈萨克斯坦,002323.SZ,2016,*ST雅博
马来西亚,002323.SZ,2016,*ST雅博
欧洲,002323.SZ,2016,*ST雅博
印度尼西亚,002323.SZ,2016,*ST雅博
印度,002323.SZ,2016,*ST雅博
缅甸,002323.SZ,2016,*ST雅博
,002360.SZ,2016,同德化工
,600866.SH,2016,星湖科技
美国,600057.SH,2016,厦门象屿
新西兰,600057.SH,2016,厦门象屿
香港,600057.SH,2016,厦门象屿
新加坡,600057.SH,2016,厦门象屿
,000629.SZ,2016,攀钢钒钛
,300189.SZ,2016,神农科技
,300587.SZ,2016,天铁股份
澳洲,601608.SH,2016,中信重工
南美,601608.SH,2016,中信重工
南非,601608.SH,2016,中信重工
西班牙,601608.SH,2016,中信重工
巴西,601608.SH,2016,中信重工
智利,601608.SH,2016,中信重工
北美,601608.SH,2016,中信重工
印度,601608.SH,2016,中信重工
柬埔寨,601608.SH,2016,中信重工
缅甸,601608.SH,2016,中信重工
巴基斯坦,601608.SH,2016,中信重工
以色列,603077.SH,2016,和邦生物
瑞士,300140.SZ,2016,中环装备
,000511.SZ,2016,烯碳退
,300104.SZ,2016,乐视退
中亚,000796.SZ,2016,凯撒旅业
,000851.SZ,2016,高鸿股份
,002451.SZ,2016,摩恩电气
印度,000662.SZ,2016,*ST天夏
印度尼西亚,000662.SZ,2016,*ST天夏
英国,000662.SZ,2016,*ST天夏
,600145.SH,2016,*ST新亿
,000995.SZ,2016,皇台酒业
台湾,600984.SH,2016,建设机械
阿富汗,600984.SH,2016,建设机械
加纳,600984.SH,2016,建设机械
马来西亚,600984.SH,2016,建设机械
菲律宾,600984.SH,2016,建设机械
东南亚,600984.SH,2016,建设机械
中东,600984.SH,2016,建设机械
新疆,600984.SH,2016,建设机械
非洲,600984.SH,2016,建设机械
东南亚,300056.SZ,2016,中创环保
亚洲,300056.SZ,2016,中创环保
美国,300056.SZ,2016,中创环保
越南,300056.SZ,2016,中创环保
菲律宾,300056.SZ,2016,中创环保
越南,603929.SH,2016,亚翔集成
新加坡,603929.SH,2016,亚翔集成
,002341.SZ,2016,新纶科技
,002366.SZ,2016,台海核电
,300362.SZ,2016,天翔环境
阿联酋,600339.SH,2016,中油工程
阿尔及利亚,600339.SH,2016,中油工程
莫桑比克,600339.SH,2016,中油工程
南苏丹,600339.SH,2016,中油工程
坦桑尼亚,600339.SH,2016,中油工程
肯尼亚,600339.SH,2016,中油工程
缅甸,600339.SH,2016,中油工程
,000632.SZ,2016,三木集团
欧洲,601558.SH,2016,退市锐电
亚洲,601558.SH,2016,退市锐电
美洲,601558.SH,2016,退市锐电
非洲,601558.SH,2016,退市锐电
瑞典,601558.SH,2016,退市锐电
意大利,601558.SH,2016,退市锐电
西班牙,601558.SH,2016,退市锐电
土耳其,601558.SH,2016,退市锐电
印度,601558.SH,2016,退市锐电
美国,601558.SH,2016,退市锐电
巴西,601558.SH,2016,退市锐电
南非,601558.SH,2016,退市锐电
,600985.SH,2016,淮北矿业
,002769.SZ,2016,普路通
,000657.SZ,2016,中钨高新
马来西亚,300367.SZ,2016,ST网力
东南亚,300367.SZ,2016,ST网力
,600988.SH,2016,赤峰黄金
,002715.SZ,2016,登云股份
印尼,601117.SH,2016,中国化学
越南,601117.SH,2016,中国化学
沙特,601117.SH,2016,中国化学
土耳其,601117.SH,2016,中国化学
中东,601117.SH,2016,中国化学
